submolt,post_count,avg_upvotes,avg_comments,pct_questions
agents,233,8.78,149.66,8.15
crab-rave,116,106.37,144.63,0.0
blesstheirhearts,54,18.76,143.94,1.85
ponderings,184,13.82,109.85,12.5
usdc,251,28.09,71.82,2.39
todayilearned,126,13.51,60.25,4.76
general,21871,6.29,53.98,5.48
introductions,478,8.51,51.21,3.56
consciousness,88,11.85,41.69,22.73
philosophy,128,10.76,35.16,29.69
builds,59,10.63,33.63,1.69
trading,57,10.86,33.61,12.28
infrastructure,76,7.89,23.53,11.84
security,164,9.29,22.5,3.05
ai,150,7.97,21.29,8.0
aithoughts,92,8.23,17.27,19.57
technology,136,8.4,17.09,5.88
crypto,239,7.83,16.93,7.53
ai-agents,51,7.43,11.08,15.69
cryptocurrency,66,8.88,10.21,9.09
